id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
KY-F00939,,KY,Azattyk,https://www.azattyk.org/a/31520930.html,2021-10-20,"Дүйнө көмүргө кайтты, глобалдык аптап коркунучу","Бириккен Улуттар Уюмунун айлана-чөйрөнү коргоо программасы өнөр-жай тармактары газ, мунай жана көмүр өндүрүүгө ашкере көп байланган өлкөлөрдүн өкмөттөрүнө глобалдык жылуулук коркунучтуу деңгээлге жетип калганын эскертти.",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ky_1,"Return to coal, warming warning"
KY-F00105,,KY,Azattyk,https://www.azattyk.org/a/1285007.html,2008-05-24,Жапонияда климаттын өзгөрүшү боюнча эл аралык жыйын башталды,"Жыйын өлкөнүн батышындагы Кобе шаарында өтүп жатат. Үч күнгө созулуучу кеңешмеде Чоң сегиздин тобуна кирген жана Бразилия, Кытай, Индия, Индонезия, Мексика, Австралия, Түштүк Корея, Түштүк Африка өңдүү ыкчам өнүгүп келе жаткан мамлекеттердин өкүлдөрү глобалдык жылуулукка өбөлгө болгон булганыч...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,international climate change meeting Japan
KY-F00915,,KY,Azattyk,https://www.azattyk.org/a/29715724.html,2019-01-17,"""Жашыл планета"": Кыргызстанда биотүрдүүлүккө кам көрүү кандай? Атом энергетикасы Жер шарын сактап калабы?",“Жашыл планета” деп аталган жаңы рубрикабызды баштайбыз. Жаңы чыгарылышта биздин өлкөбүздөгү биологиялык түрдүүлүктүн учурдагы абалына токтолобуз. Глобалдык климат өзгөрүп жаткан шартта атом энергетикасы жашыл планетаны сактап калабы?,RELEVANT,ENERGY,RELEVANT,ENERGY,,1,ky_2,Nuclear energy vs climate; biodiversity rubric
KY-F02158,,KY,Azattyk,https://www.azattyk.org/a/1262964.html,2007-03-08,Бүгүн Брюсселде Евробиримдиктин 27 мүчөсүнүн катышуусунда эки күндүк саммит башталат,Жолугушуунун негизги темасы - климаттын өзгөрүүлөрү менен күрөшүүнүн жолдорун табуу. Евробиримдиктин лидерлери 2020-жылга карата көмүр кычкыл газдарынын калдыктарын 1990-жылга салыштырмалуу 20 пайызга кыскартуу долбоорун талкуулашат. Бүгүнкү күндө дүйнөдөгү өндүрүштүк газдардын атмосферага...,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,"EU climate summit, emissions cuts"
KY-F01729,,KY,Azattyk,https://www.azattyk.org/a/25277265.html,2014-02-26,Мөңгүлөрдү сактоо боюнча мыйзам даярдалууда,"Бул тууралуу Жогорку Кеңеште ""Кыргызстандагы мөңгүлөр жөнүндө"" мыйзам долбоорун талкуулоо учурунда айтылды. Аны депутат Эркингүл Иманкожоева иштеп чыккан. Депутаттын айтымында, мыйзам долбоор өлкөдөгү мөңгүлөрдү сактоо максатын көздөйт. Өлкөдөгү мөңгүлөрдүн тизмеси түзүлүп, аларга көзөмөл...",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ky_1,Glacier preservation law prepared
KY-F01375,,KY,Azattyk,https://www.azattyk.org/a/1905368.html,2009-12-16,Дүйнө лидерлери Копенгагенге чогулууда,Дүйнө лидерлери климаттын өзгөрүүсү боюнча Копенгагенде өтүп жаткан Улуттар уюмунун жыйынына катышуу үчүн чогулууда. Алар абага өнөр жай ишканалары чыгарган газдан улам абанын ысып жатышына каршы орток бир пикирге келиши керек. Кошмо Штаттарынын президенти Барак Обама башка 120 лидерлердин...,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,Leaders gather Copenhagen climate summit
KY-F00889,,KY,Azattyk,https://www.azattyk.org/a/1912488.html,2009-12-24,Б.Обама: Копенгаген саммитине айтылган сында негиз бар,Кошмо Штаттарынын президенти Барак Обама климаттын өзгөрүшү боюнча Копенгагенде жакында өткөн саммиттин жыйынтыктары көп адамдардын сынына кабылып жатканда негиз бар экенин билдирди. Теле аркылуу сүйлөн сөзүндө Б.Обама саммитте анча-мынчы ийгиликтер болгону менен ал олуттуу жыйынтыктарды...,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,Obama on Copenhagen summit criticism
KY-F00886,,KY,Azattyk,https://www.azattyk.org/a/32532482.html,2023-08-03,Рим папасы жаштарды климаттын өзгөрүүсүнө каршы күрөшүүгө чакырды,"Рим Папасы Франциск 3-августта жаштарды планетага кам көрүп, климаттын өзгөрүүсүнө жана жакырчылыкка каршы күрөшкө көңүл бурууга чакырды. ""Биздин жалпы үйүбүзгө токтоосуз кам көрүшүбүз керек экенин моюнга алуубуз зарыл. Бирок көз карашты чындап өзгөртмөйүнчө муну ишке ашыруу мүмкүн эмес"", -...",RELEVANT,OTHER_CLIMATE,RELEVANT,HEALTH_SOCIETY,,1,ky_2,Pope urges youth to fight climate change
KY-F00555,,KY,Azattyk,https://www.azattyk.org/a/28098295.html,2016-11-05,"“АЛМА-ЭКСПО"" 1- күзгү айыл чарба жармаңкеси өтүп жатат","Бишкектеги ""Вефа"" соода борборунда өтүп жаткан иш-чарада Кыргызстанда өндүрүлгөн натуралдык жана органикалык азыктардын көргөзмөсү да болот. Уюштуруучулардын белгилөөсү боюнча, климаттык кескин өзгөрүүлөрдүн шартында жана Борбор Азия менен Кыргызстандагы азык-түлүк коопсуздугун камсыздоодо...",RELEVANT,AGRI_LAND,NOT_RELEVANT,,,1,ky_1,"Agri fair, climate incidental context"
KY-F00520,,KY,Azattyk,https://www.azattyk.org/a/33036954.html,2024-07-15,"""Климаттык өзгөрүү боюнча мамлекеттик саясат керек""","14-июлда нөшөрлөгөн жаандан улам Ош облусунун аймагында катуу сел жүрүп, адам өмүрү кыйылып, бир катар кыйроолорду алып келди. Селдин себеби катары климаттын өзгөрүүсү айтылууда. Жаратылыш кубулуштарын эске алуу менен бийлик кандай чаралары көрүшү керек жана эмнелерге даяр болгону оң?",RELEVANT,DISASTER,RELEVANT,DISASTER,,1,ky_2,"Osh mudflow deaths, climate-change cause, policy"
KY-F00730,,KY,Azattyk,https://www.azattyk.org/a/33123138.html,2024-09-17,Садыр Жапаров Бишкекте жашыл энергия боюнча аймактык борбор түзүүнү сунуштады,"Кыргызстандын президенти Садыр Жапаров 17-сентябрда Астана шаарында өтүп жактан ""Борбор Азия - Германия"" саммитинде сүйлөп жатып, Германия менен бирге Бишкек шаарында Энергияны натыйжалуу жана ресурстарды үнөмдөөчү технологияларды киргизүү боюнча регионалдык борбор түзүүнү сунуштады....",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ky_2,Proposed green-energy regional center
KY-F00065,,KY,Azattyk,https://www.azattyk.org/a/1990336.html,2010-03-22,Дүйнөдө 880 млн.адам таза сууга муктаж,"Бул тууралуу “Кызыл чырым” эларалык федерациясы билдирди. Бүгүн дүйнөдө Суу күнүн белгилөө менен аталган уюм климаттагы өзгөрүүлөр, пландалбаган шаарлардын өсүшү жана миграция дүйнөдөгү эң жакыр коомдорго терс таасирин тийгизип жатканын айтты. Быйыл Суу күнү анын сапаты үчүн күрөшүү чакырыгы...",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ky_1,Water scarcity linked to climate
KY-F00192,,KY,Azattyk,https://www.azattyk.org/a/32653241.html,2023-10-25,Кыргызстан үч көмүр кенин кытай компаниялары менен чогуу иштетет,"25-октябрда Кытайдын премьер-министри Ли Цяндын Бишкектеги расмий сапарынын алкагында 12 документке кол коюлду. Алардын арасында кытай компаниялары менен Кыргызстанда үч көмүр кенин бирге иштетүү, шамал жана күн энергиясын өндүргөн ишканаларды чогуу куруу жана кыргыз-кытай чек арасына чукул...",RELEVANT,ENERGY,NOT_RELEVANT,,,1,ky_1,Coal mine business deal foregrounded
KY-F00384,,KY,Azattyk,https://www.azattyk.org/a/32729203.html,2023-12-13,COP28: 200дөн ашуун өлкө мунай колдонууну азайтууну макулдашты,Дубайда өткөн климат боюнча COP28 саммитинин жыйынтыгында 200дөн ашуун мамлекеттин өкүлдөрү жерден казылган күйүүчү отунду колдонууну азайтууну макулдашты. Эки жумага созулган иш-чаранын соңунда келишилген макулдашуу абага зыяндуу заттардын бөлүнүшүн чектөөгө багытталаган. COP28 саммитине...,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,COP28 fossil fuel reduction deal
KY-R200213,,KY,Azattyk,https://www.azattyk.org/a/2245525.html,2010-12-12,Дүйнөдө айлана чөйрөнү коргоонун планы бекитилди,Мексиканын Канкун шаарындагы конференцияга катышкан мамлекеттер 2020-жылга чейин 100 млрд.доллар чогулта турган болушту. Ал акча өздөрүндө айлана-чөйрөнү коргош үчүн жакыр мамлекеттерге таратылат. Мексиканын тышкы иштер министри Патрисия Эспиноса муну “климаттын өзгөрүшүнө байланыштуу эл аралык...,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,Cancun climate finance plan
KY-F01786,,KY,Azattyk,https://www.azattyk.org/a/1828441.html,2009-09-23,Бүгүн БУУ климаттагы өзгөрүүлөрдү талкуулайт,100дөн ашуун мамлекеттин лидерлери климаттагы өзгөрүүлөрдү талкуулоо үчүн бүгүн Бириккен улуттар уюмунун Нью-Йорктогу баш-кеңсесиндеги жыйынга катышууда. Аба-ырайынын ысышына түрткү болгон абага чыгарылып жаткан булганыч газдын көлөмүн кыскартууда саясий эрк керектиги айтылды. Бул жолку талкуу...,RELEVANT,POLICY,RELEVANT,POLICY,,,gold,IAA adjudicated gold
KY-F01863,,KY,Azattyk,https://www.azattyk.org/a/24792233.html,2012-12-07,БУУнун климат боюнча сүйлөшүүсү соңуна чыгууда,"Бириккен Улуттар уюмуна кирген 200 өлкөнүн өкүлдөрү Катарда жарым айдан бери дүйнөдө климаттын өзгөрүшүнүн кесепеттерин талкуулашты. Кабарчылардын билдиришинче, бул кесепеттерди жоюнун чыгымын ким көтөрөт деген маселеде пикир келишпөөчүлүктөр келип чыкты. Жыйында саналуу гана өлкөлөр, анын...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,UN climate negotiations Qatar
KY-F00293,,KY,Azattyk,https://www.azattyk.org/a/28837990.html,2017-11-06,БУУ: 2017-жыл эң ысык үч жылдын бири болгону калды,"2017-жыл каттоо башталгандан берки эң ысык үч жылдын бири болгону калды. Бул тууралуу Дүйнөлүк метеорология уюму Германиянын Бонн шаарында 6-ноябрда башталган БУУнун климат боюнча конференциясында билдирди. Маалыматка ылайык, быйыл январь-сентябрь айларынын аралыгында дүйнөлүк температура...",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,gold,IAA adjudicated gold
KY-R200323,,KY,Azattyk,https://www.azattyk.org/a/31456666.html,2021-09-13,Экология көйгөйүн баяндаган көргөзмө өтүп жатат,"Бишкекте экология көйгөйү тууралуу баяндаган мультимедиа көргөзмөсү өтүп жатат. “Кешик” деп аталган көргөзмөнү каалоочулар Гапар Айтиев атындагы Көркөм өнөр музейинен же долбоордун Интернеттеги расмий сайтынан көрө алышат. Анда климат канчалык өзгөрүп жатканын чагылдырган мөңгүлөрдүн эрүүсү,...",RELEVANT,OTHER_CLIMATE,RELEVANT,WATER_CRYO,,1,ky_2,"Exhibition on climate change, glacier melt"
KY-F02308,,KY,Azattyk,https://www.azattyk.org/a/33357212.html,2025-03-24,ЮНЕСКОдо Кыргызстандагы мөңгүлөрдүн абалы айтылды,Кыргыз делегациясы ЮНЕСКОнун штаб-квартирасында тоолорду туруктуу өнүктүрүү жана мөңгүлөрдү сактоо боюнча беш жылдык пландын максаттары жана иш-чаралары жөнүндө презентация жасады. Бул тууралуу президенттик администрация билдирди. ЮНЕСКОнун штаб-квартирасында (Франция) 20-21-мартта Мөңгүлөрдү...,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ky_2,"Kyrgyz glaciers, preservation plan at UNESCO"
KY-F02000,,KY,Azattyk,https://www.azattyk.org/a/33080869.html,2024-08-16,Өкмөт жайыттардын үчтөн бир бөлүгүн зыяндуу өсүмдүктөр басып кеткенин билдирди,"Министрлер кабинети 2024-2029-жылдарга карата Кыргызстандын жайыттарын өнүктүрүү программасын бекитти. Деградация болгон жайыттарды жакшыртуу үчүн кабыл алынган программа климаттын өзгөрүү шартында жайыттарды сактоо, аларды натыйжалуу башкаруу аркылуу айыл калкынын жашоо деңгээлин жогорулатууну...",RELEVANT,AGRI_LAND,RELEVANT,AGRI_LAND,,,gold,IAA adjudicated gold
KY-01491,,KY,24.kg,https://24.kg/kyrgyzcha/55452_1256zbekstan_gidroenergetikalyik_kubattuulugun_k1199ch1257t1257t/,2017-06-21,Өзбекстан гидроэнергетикалык кубаттуулугун күчөтөт - | 24.KG,Өзбекстан гидроэнергетикалык кубаттуулугун күчөтөт. Бул боюнча centralasian.org билдирет.,RELEVANT,ENERGY,NOT_RELEVANT,,,1,ky_2,"hydropower capacity, no climate framing"
KY-R200343,,KY,Azattyk,https://www.azattyk.org/a/33201990.html,2024-11-17,Каспийде түлөндөр эмнеден улам кырыла баштады?,"Каспий түлөнү – Казакстанды мекендеген жалгыз деңиз жаныбары. Жаз менен күздө түлөндөр (аюу балык) деңиздин Казакстан тарабына ооп келет. Алардын жапырт кырылуусуна адамдын таасири, климаттын өзгөрүүсү жана суунун булганышы себеп болууда. Асел Баймуканова түлөндү көп жылдан бери иликтеп жүрөт.",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,gold,IAA adjudicated gold
KY-F01392,,KY,Azattyk,https://www.azattyk.org/a/32636041.html,2023-10-13,Садыр Жапаров КМШ саммитинде суу ресурстарын пайдалануу маселесин көтөрдү,"Президент Садыр Жапаров Көз карандысыз Мамлекеттер Шериктештигине мүчө-мамлекет башчыларынын саммитинде климаттын туруктуулугун камсыздоо үчүн жасалып жаткан иштерге токтолду. Аймактагы суу ресурстарынын 40% жакынын Кыргызстандагы суулар түзөрүн, аймакты суу менен камсыз кылууда Кыргызстан өз...",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ky_1,"Water resources sharing, climate"
KY-F01021,,KY,Azattyk,https://www.azattyk.org/a/30021422.html,2019-06-26,Инвесторлор климаттын өзгөрүшү менен күрөштө чукул чараларды талап кылышты,34 триллион доллар өлчөмүндөгү капиталды башкарган ири инвесторлор климаттын өзгөрүшү менен күрөштө чукул чара көрүүнү талап кылган ачык кат жазышканын «Reuters» агенттиги кабарлады. Катка дүйнөлүк инвестициялык капиталдын дээрлик жарымын түзгөн 477 инвестор кол койгон. Инвесторлор Бириккен...,RELEVANT,POLICY,RELEVANT,POLICY,,1,ky_2,Investors demand urgent climate action
KY-F01544,,KY,Azattyk,https://www.azattyk.org/a/28515596.html,2017-05-29,Казакстан: Арал деңизин өнүктүрүү боюнча эл аралык форум өтөт,"Аралды өнүктүрүү боюнча эл аралык форум 30-31-майда Казакстандын Кызыл-Ордо шаарына белгиленген. Иш-чарага Борбор Азия өлкөлөрүнүн, БУУнун, ЕККУнун жана Дүйнөлүк банктын өкүлдөрү чакырылган. Аралды сактоо фондун жетектөө укугу быйыл үч жылга Өзбекстандан Түркмөнстанга өттү. Буга чейин...",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ky_2,"Aral Sea forum, preservation fund"
KY-F00158,,KY,Azattyk,https://www.azattyk.org/a/1359110.html,2008-12-13,Евробиримдик тарыхый планды бекиткени турат,"Евробиримдиктин лидерлери Брюсселде бүгүн аяктачу саммитте глобалдык жылуулакка жана экономикалык кризистен чыгуу боюнча чечим кабыл алышат. Алдын ала макулдашууларга ылайык, Биримдикте көмүртектин кошкычкылын абага бөлүү 2020-жылга 20 процентке кыскартылууга тийиш.",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,EU plan cut carbon emissions
KY-F00479,,KY,Azattyk,https://www.azattyk.org/a/27746796.html,2016-05-20,Кыргызстан Арал деңизи боюнча фонддун ишине катышуусун токтотту,"Кыргызстан Арал деңизин сактап калуу боюнча эл аралык фонддун жана анын органдарынын ишине катышуусун убактылуу токтотту. Бул тууралуу тышкы иштер министринин биринчи орун басары Динара Кемелова Брюсеелде өткөн ""Евробиримдик – Борбор Азия"" жыйынында билдирди. Кемелованын белгилешинче, аталган...",RELEVANT,WATER_CRYO,NOT_RELEVANT,,,1,ky_1,"Aral fund participation suspension, political"
KY-F01810,,KY,Azattyk,https://www.azattyk.org/a/1905688.html,2009-12-17,Копенгагендеги жыйында төрага алмашты,"Алар Улуттар уюмунун климаттын өгөрүшү боюнча жыйынынын төрагалыгы Даниянын тышкы иштер министри Конни Хедегордун ордуна Даниянын премьер-министри Ларс Лекке Расмуссенге өттү. Анын себеби айтылган жок. Бийликтердин маалыматы боюнча, бүгүн полиция жыйын өтүп жаткан имаратка бараткан...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,Copenhagen climate meeting chair change
KY-R200304,,KY,Azattyk,https://www.azattyk.org/a/32721769.html,2023-12-08,Өкмөт көмүрдү байытуу менен ышты азайтууну көздөйт,"Көмүрдү байытып, сапатын жакшыртуу ыш маселесин 50% чейин азайта алат. Бул тууралуу жаратылыш ресурстары, экология жана техникалык көзөмөл министри Медетбек Маметов 8-декабрда журналисттерге билдирди. Министр Кыргызстандагы ыш маселесин чечүү үчүн көп кадамдар жасалып жатканын белгиледи. Анын...",RELEVANT,WATER_CRYO,NOT_RELEVANT,,1,,ky_1,
KY-R00082,,KY,Azattyk,https://www.azattyk.org/a/1214491.html,2003-09-30,Москвада планетанын жылышына байланыштуу дүйнөлүк конференция башталды,"«Климаттын өзгөрүүсү боюнча дүйнөлүк конференция» 29-сентябрда Москвада ачылды. Беш күнгө созула турган жыйынга 80ден ашуун мамлекеттин өкүлдөрү катышып, планетанын глобалдык масштабда ысышына байланыштуу маселени талкуулашууда. Конференциянын ачылышында сөз сүйлөгөн президент Владимир Путин...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,world climate change conference Moscow
KY-F00113,,KY,Azattyk,https://www.azattyk.org/a/1336752.html,2008-10-31,Ачарчылык коркунучу Ооганстан үчүн талиптерден да олуттуу,"Мындай эскертүүнү Лондондон британиялык аналитикалык борборлордун бири- Падышалык бириккен Куралдуу күчтөрдүн институту жасады. Аталган институттун айтымында, азык-түлүктүн дүйнөлүк баасынын жогорулоосу, жайдагы кургакчылык быйыл кышта Ооганстанды ачарчылыкка алып баруусу мүмкүн. Институттун...",RELEVANT,AGRI_LAND,RELEVANT,AGRI_LAND,,1,ky_1,"Afghanistan drought, famine threat"
KY-F00743,,KY,Azattyk,https://www.azattyk.org/a/1239598.html,2005-06-07,КИОТО ПРОТОКОЛУН АТКАРУУГА КАЛИФОРНИЯ ШТАТЫ ӨЗ АЛДЫНЧА КИРИШТИ,"Нарын АЙЫП, Прага 5-июнда бүткүл дүйнөдө Жаратылышты коргоо күнү белгиленди жана ал күнү АКШнын Сан-Франциско шаарында америкалык шаарлардын мэрлеринин ири жыйыны болуп өттү. АКШ Киото келишиминен чыгып кеткени белгилүү, бирок жыйында көтөрүлгөн маселелер жана анда кабыл алынган чечимдер - жаратылышты коргоо милдетин Америкада өзүнө жергиликтүү бийлик алууга ынтызар экенин көрсөттү.",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,California implements Kyoto Protocol
KY-F02100,,KY,Azattyk,https://www.azattyk.org/a/28951660.html,2018-01-03,"Иманалиев: ""Жашыл"" экономиканын артыкчылыктуу тармактары аныкталды","Кыргызстан Париж келишимине кошулуп, абага зыяндуу газдарды чыгарууну 30% чейин азайтуу милдеттемесин алган. Экономика министринин орун басары Данияр Иманалиев өлкө “жашыл экономикага” өтүүнү максат кылып, ал үчүн артыкчылыктуу тармактар аныкталганын белгилейт.",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,"Green economy sectors, Paris emission commitment"
KY-F01524,,KY,Azattyk,https://www.azattyk.org/a/1273510.html,2007-10-12,ТЫНЧТЫК БОЮНЧА НОБЕЛЬ СЫЙЛЫГЫН “КЛИМАТТЫН ӨЗГӨРҮШҮ” УТТУ,"АКШнын мурдагы вице-президенти, айлана-чөйрөнү коргоо боюнча белгилүү активист Альберт Гор менен Бириккен улуттар уюмунун климаттагы өзгөрүштөрдү иликтеген адистер тобу Тынчтык боюнча быйылкы Нобель сыйлыгын утуп алышты. Бул сыйлык үчүн жалпысынан 181 киши атаандашкан эле. Эми Гор менен БУУнун адистер тобу бир жарым миллион долларлык баш-байгени тең бөлүп алышат.",RELEVANT,POLICY,RELEVANT,SCIENCE_GEN,,,gold,IAA adjudicated gold
KY-F01823,,KY,Azattyk,https://www.azattyk.org/a/1276638.html,2007-12-15,КЛИМАТ БОЮНЧА СҮЙЛӨШҮҮЛӨРДӨ ИРИ ЖЫЛЫШ ЖАСАЛДЫ,Кызуу талаш-тартыш менен өткөн Бириккен улуттардын климатка байланышкан жыйынында жер абасынын ысышы боюнча келишимди 2009-жылга карата түзүү макулдашылды.,RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,Climate negotiations progress
KY-F00142,,KY,Azattyk,https://www.azattyk.org/a/1773069.html,2009-07-09,Италияда болсо «чоң сегиздин» саммити өтүп жатат,"Дүйнөдө өндүрүшүнүн кеңдиги боюнча сегиз ири мамлекетинин башчыларынын саммити кечээ башталган. Лидерлер климаттагы өзгөрүүлөрдү жана глобалдык соода-сатык маселелерин, атап айтканда, андагы америкалык валюта – доллардын - ролун талкуулап атышат. Кечээ, саммиттин биринчи күнүндө, президенттер...",RELEVANT,POLICY,NOT_RELEVANT,,,,gold,IAA adjudicated gold
