id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
RU-D05669,,RU,Tengrinews,https://tengrinews.kz/mixnews/rebenok-ogne-medved-lyisom-lednike-trevojnyie-snimki-climate-399584/,2020-04-22,Ребенок в огне и медведь на ”лысом” леднике. Тревожные снимки Climate Change 2020: 22 апреля 2020 12:19 - новости на Tengri Life,Tengrinews.kz ▶ Ребенок в огне и медведь на ”лысом” леднике. Тревожные снимки Climate Change 2020: 22 апреля 2020 12:19 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,ru_2,climate change photos awareness
RU-D01359,,RU,Sputnik,https://sputnik.kg/20250114/batken-zhasalma-ekologiya-zhayyt-1091409259.html,,Суу таңсыктыгын чечүү максатында Баткенде үч жасалма мөңгү тоңдурулду,"БИШКЕК, 14-янв. — Sputnik. Жайыттардагы суу таңсыктыгын чечүү максатында Баткенде үч жасалма мөңгү тоңдурулду. Бул тууралуу облустук өкүлчүлүктөн билдиришти.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_1,artificial glaciers for water scarcity
RU-D02642,,RU,Sputnik,https://sputnik.kg/20220217/klimattyn-ozgorushu-boyuncha-okumushtuulardyn-zhakshy-zhanylygy-1062114104.html,,Климаттын өзгөрүшү боюнча жакшы кабар бар. Окумуштуулардын соңку иликтөөсү,"Климаттык миңден ашык изилдөөлөрдүн жыйынтыгы адам баласы экологиялык кризис менен баары бир күрөшө аларын көрсөткөн, адистер бирок аны менен токтоп калбаш керектигин эскертүүдө.",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,ru_2,"climate research, good news"
RU-D00383,,RU,Sputnik,https://sputnik.kg/20241113/sadyr-zhaparov-klimat-boyuncha-sammitte-sujlodu-1090160995.html,,Мөңгү 16%га кыскарды. Садыр Жапаров дүйнө лидерлерине коңгуроо какты,Иш-чара Азербайжандын борбору Баку шаарында өтүүдө.,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ru_1,"glaciers shrank 16%, summit call"
RU-D02563,,RU,Tengrinews,https://tengrinews.kz/story/bolee-70-slonov-pogibli-iz-za-zasuhi-v-kenii-469024/,2022-05-20,Более 70 слонов погибли из-за засухи в Кении: 20 мая 2022 10:05 - новости на Tengrinews.kz,Tengrinews.kz ▶ Более 70 слонов погибли из-за засухи в Кении: 20 мая 2022 10:05 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,DISASTER,RELEVANT,DISASTER,,,ru_1,elephants died from Kenya drought
RU-D05063,,RU,Tengrinews,https://tengrinews.kz/around-the-world/nazvanyi-stranyi-kotoryie-polnostyu-zatopit-lednik-sudnogo-600556/,2026-06-02,"Названы страны, которые может полностью затопить “ледник судного дня“","Разрушение знаменитого ""ледника судного дня"" в Западной Антарктиде может произойти гораздо быстрее, чем рассчитывали учёные. Его полное таяние и неизбежный обвал соседних ледяных массивов грозят наводнением сразу в шести странах, передаёт Tengri Travel со ссылкой на Express Daily.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_1,doomsday glacier could flood countries
RU-00021,,RU,Daryo.uz,https://daryo.uz/ru/2026/04/15/centralnaya-aziya-voda-resurs-kontrol-zasuha-damba/,2026-04-15,Странам Центральной Азии не хватает координации в водном контроле,"В Ташкенте в преддверии заседания Совета глав государств-учредителей Международного фонда спасения Арала, которое пройдет 22 апреля в Астане, обсудили вопросы водной безопасности в регионе в условиях изменения климата.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_2,water security amid climate change
RU-D04501,,RU,Kaktus,https://kaktus.media/doc/401838_1_y_molodejnyy_klimaticheskiy_forym_v_ayca_30_noiabria.html,2019-11-28,1-й Молодежный климатический форум - в АУЦА 30 ноября,"1-й Молодежный климатический форум – это первое масштабное мероприятие, посвященное изменениям климата, вопросам сохране",RELEVANT,OTHER_CLIMATE,RELEVANT,HEALTH_SOCIETY,,1,ru_1,youth climate forum event
RU-D04293,,RU,Tengrinews,https://tengrinews.kz/mixnews/grustnaia-krasota-aralskogo-moria-297869/,2016-07-14,Грустная красота Аральского моря: 14 июля 2016 11:16 - новости на Tengri Life,Tengrinews.kz ▶ Грустная красота Аральского моря: 14 июля 2016 11:16 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ru_1,"Aral Sea sad beauty, drying"
RU-D01054,,RU,Kaktus,https://kaktus.media/doc/451753_sosedi_sebia_ogranichili_no_vody_nam_dali._ministr_ekologii_rk_podvel_itogi_2021_goda.html,2021-12-24,"""Соседи себя ограничили, но воду нам дали"". Министр экологии РК подвел итоги 2021 года","Министр экологии, геологии и природных ресурсов Казахстана отчитался об итогах работы своего ведомства. Среди основных достижений - успешные переговоры с соседями о выделении дополнительной поливной воды в ущерб им самим. Догадываетесь, о ком речь?",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_2,water-sharing negotiations
RU-00086,,RU,Daryo.uz,https://daryo.uz/ru/2024/06/06/novyj-obzor-kpmg-cto-nuzno-znat-o-vnedrenii-standartov-msfo-s1-i-s2/,2024-06-06,Новый обзор KPMG: Что нужно знать о внедрении стандартов МСФО S1 и S2,"26 июня 2023 года Совет по международным стандартам устойчивого развития (ISSB) выпустил два стандарта, которые вступают в силу для годовых отчетных периодов, начинающихся 1 января 2024 года или после этой даты: - МСФО S1 «Общие требования к раскрытию финансовой информации в области устойчивого развития»; и - МСФО S2 «Раскрытие информации, связанной с климатом».",RELEVANT,POLICY,RELEVANT,POLICY,,1,ru_1,IFRS S2 climate disclosure standards
RU-D00171,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/akmolinskoi-oblasti-postroiat-vetrovuiu-elektrostanciiu-344911/,2018-05-23,В Акмолинской области построят ветровую электростанцию мощностью 50 мегаватт: 23 мая 2018 11:34 - новости на Tengrinews.kz,Tengrinews.kz ▶ В Акмолинской области построят ветровую электростанцию мощностью 50 мегаватт: 23 мая 2018 11:34 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_2,wind power plant Akmola
RU-D04687,,RU,Kaktus,https://kaktus.media/doc/366000_skandalom_zakonchilsia_kryglyy_stol_po_spaseniu_lednikov_v_kyrgyzstane._video.html,2017-11-10,Скандалом закончился круглый стол по спасению ледников в Кыргызстане. Видео,"Вице-премьер-министр Зилалиев и активисты поспорили о том, можно ли вести разработку на ледниках.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_2,glacier protection roundtable
RU-D04430,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/ekologi-rasskazali-tyajelyih-posledstviyah-obmeleniya-urala-451665/,2021-10-20,Экологи рассказали о тяжелых последствиях обмеления Урала: 20 октября 2021 09:58 - новости на Tengrinews.kz,Tengrinews.kz ▶ Экологи рассказали о тяжелых последствиях обмеления Урала: 20 октября 2021 09:58 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_2,Ural river shallowing consequences
RU-D05844,,RU,Kaktus,https://kaktus.media/doc/462079_kak_poriadok_v_jivotnovodstve_sviazan_s_sohraneniem_lednikov._obiasniaem.html,2022-06-17,Как порядок в животноводстве связан с сохранением ледников. Объясняем,"""Спасем ледники"". Новое движение Министерства сельского хозяйства.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ru_2,livestock order linked to glaciers
RU-D05257,,RU,Tengrinews,https://tengrinews.kz/other/uchenyie-nashli-svyaz-globalnyim-potepleniem-uhudsheniem-459446/,2022-01-17,Ученые нашли связь между глобальным потеплением и ухудшением здоровья детей: 17 января 2022 20:44 - новости на Tengrinews.kz,Tengrinews.kz ▶ Ученые нашли связь между глобальным потеплением и ухудшением здоровья детей: 17 января 2022 20:44 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,HEALTH_SOCIETY,RELEVANT,HEALTH_SOCIETY,,,ru_2,warming and children's health
RU-00232,,RU,Daryo.uz,https://daryo.uz/ru/2026/03/13/tashkent-tehnopark-eksperiment-teplicy-energoeffektivnost/,2026-03-13,Без газа и угля: в Ташкенте тестируют энергоэффективные теплицы,"Эксперимент позволит изучить эффективность работы тепловых насосов в холодный сезон, их способность поддерживать необходимый микроклимат внутри теплицы, а также уровень энергосбережения.",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_1,"energy-efficient greenhouses, heat pumps"
RU-C00295,,RU,24.kg,https://24.kg/archive/ru/bigtiraj/66117-globalnoe-poteplenie-yeto-falsifikaciya-zadaetsya.html/,2009-11-26,Глобальное потепление - это фальсификация? Задается вопросом,Глобальное потепление - это фальсификация? Задается вопросомThe Guardian (Великобритания). Опубликованные недавно электронные письма из Университета Восточной Англии подрывают репутацию неск,RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,ru_1,"global warming skepticism, Climategate"
RU-D01426,,RU,Tengrinews,https://tengrinews.kz/news/effektivnyie-meryi-snijeniyu-uglerodnogo-sleda-lokomotivov-451151/,2021-10-13,Эффективные меры по снижению углеродного следа локомотивов принимают в ҚТЖ: 13 октября 2021 21:30 - новости на Tengrinews.kz,Tengrinews.kz ▶ Эффективные меры по снижению углеродного следа локомотивов принимают в ҚТЖ: 13 октября 2021 21:30 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,ENERGY,RELEVANT,ENERGY,,1,ru_1,railway carbon footprint reduction
RU-C00225,,RU,24.kg,https://24.kg/archive/ru/bigtiraj/135870-ssha-pomogut-tadzhikistanu-v-izuchenii-lednikov.html/,2012-08-31,"США помогут Таджикистану в изучении ледников Памира, рассказывает","США помогут Таджикистану в изучении ледников Памира, рассказывает«Голос России». США предложили Таджикистану помощь в изучении ледников Памира. В Душанбе инициативой американцев",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_2,Pamir glacier study
RU-D04879,,RU,Tengrinews,https://tengrinews.kz/asia/iskusstvennyie-dojdi-borbyi-silnoy-zasuhoy-vyizyivayut-kitae-475695/,2022-08-18,Искусственные дожди для борьбы с сильной засухой вызывают в Китае: 18 августа 2022 13:48 - новости на Tengrinews.kz,Tengrinews.kz ▶ Искусственные дожди для борьбы с сильной засухой вызывают в Китае: 18 августа 2022 13:48 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,WATER_CRYO,RELEVANT,DISASTER,,,ru_1,cloud seeding for China drought
RU-C00750,,RU,Daryo.uz,https://daryo.uz/ru/2023/09/18/turkmenistan-iniciiruet-novye-rezolucii-po-energetike-transportu-i-izmeneniu-klimata-na-genassamblee-oon-v-nu-jorke/,2023-09-18,"Туркменистан инициирует новые резолюции по энергетике, транспорту и изменению климата на Генассамблее ООН в Нью-Йорке",Президент Сердар Бердымухамедов примет участие и в саммите в формате Центральная Азия–США,RELEVANT,POLICY,RELEVANT,POLICY,,,ru_1,Turkmenistan UN climate resolutions
RU-D04970,,RU,Sputnik,https://sputnik.kg/20220824/evrokomissiya-kurgakchylyk-klimat-1067124533.html,,Еврокомиссия: 500 жылдан бери Европада азыркыдай кургакчылык болгон эмес,"Климат боюнча Copernicus кызматынын маалыматына ылайык, соңку жети жыл Жер жүзүндө абдан ысык болгон.",RELEVANT,DISASTER,RELEVANT,DISASTER,,,ru_1,worst European drought 500 years
RU-D05675,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/obyem-vodyi-uvelichilsya-v-aralskom-more-539249/,2024-06-24,Объем воды увеличился в Аральском море,"В северной части Аральского моря увеличился объем воды. Об этом сообщили в министерстве водных ресурсов и ирригации, передает корреспондент Tengrinews.kz.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_1,Aral water volume increased
RU-D03263,,RU,Kaktus,https://kaktus.media/doc/526810_proryv_takyr_tora._ozero_vyshlo_iz_beregov_iz_za_taianiia_lednikov.html,2025-07-01,Прорыв Такыр-Тора. Озеро вышло из берегов из-за таяния ледников,"Специалист МЧС пояснил, почему озеро Такыр-Тор вышло из берегов.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ru_1,glacial lake outburst flood
RU-00066,,RU,Daryo.uz,https://daryo.uz/ru/2023/12/20/genassamblea-oon-prinala-predlozennuu-uzbekistanom-rezoluciu-o-borbe-s-ekologiceskimi-problemami-v-ca/,2023-12-20,Генассамблея ООН приняла предложенную Узбекистаном резолюцию о борьбе с экологическими проблемами в ЦА,Документ призывает страны всего мира активизировать усилия по охране горных экосистем и сохранению ледников,RELEVANT,POLICY,RELEVANT,POLICY,,,ru_1,"UN resolution, protect glaciers/ecosystems"
RU-C00699,,RU,Daryo.uz,https://daryo.uz/ru/2023/07/06/ashabad-i-london-gotovy-k-partnerstvu-v-energetike-i-ekologii/,2023-07-06,Ашхабад и Лондон готовы к партнерству в энергетике и экологии,Британские компании недавно ознакомили с потенциалом «зеленых» проектов,RELEVANT,ENERGY,RELEVANT,ENERGY,,1,ru_1,Ashgabat-London green energy partnership
RU-00114,,RU,Daryo.uz,https://daryo.uz/ru/2026/05/12/mirziyoev-obrashenie-uchastniki-evraziyskiy-ekonomicheskiy-sammit/,2026-05-12,Шавкат Мирзиёев обратился к участникам 29-го Евразийского экономического саммита,"Было отмечено, что одна из ключевых тем нынешнего Саммита — глобальная ответственность в условиях дефицита водных и зелёных ресурсов — сегодня особенно актуальна. Ведь мир сталкивается с нарастающими климатическими вызовами, включая опустынивание, деградацию земель, дефицит воды и ухудшение экологической ситуации.",RELEVANT,AGRI_LAND,RELEVANT,POLICY,,,ru_2,summit address on climate/water
RU-C00291,,RU,24.kg,https://24.kg/archive/ru/bigtiraj/105737-o-posledstviyax-klimaticheskix-izmenenij-pishet.html/,2011-07-27,О последствиях климатических изменений пишет,"О последствиях климатических изменений пишетLa Stampa (Италия). Наводнения уничтожают урожай в Австралии, засуха терзает Северную Европу, растут цены на зерно, дорожает хлеб, ухудшается поло",RELEVANT,AGRI_LAND,RELEVANT,AGRI_LAND,,,ru_1,"climate impacts on crops, food prices"
RU-D02477,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/zasuha-jambyilskoy-oblasti-smailov-poobeschal-agrariyam-507319/,2023-08-11,Засуха в Жамбылской области. Смаилов пообещал аграриям возместить убытки,"Премьер-министр Алихан Смаилов сообщил фермерам Жамбылской области, что им возместят ущерб, который они понесли из-за засухи, передает Tengrinews.kz со ссылкой на сайт правительства.",RELEVANT,DISASTER,RELEVANT,AGRI_LAND,,,ru_1,"drought, farmer compensation"
RU-C00456,,RU,Daryo.uz,https://daryo.uz/ru/2025/12/05/uzbekistan-vdvoe-sokratit-vybrosy-vrednyx-gazov-v-atmosferu-k-2035-godu/,2025-12-05,Узбекистан вдвое сократит выбросы вредных газов в атмосферу к 2035 году,Это обязательство Узбекистан взял на себя на климатической конференции COP-30 в Бразилии в рамках Парижского соглашения. В этом направлении совместно с Всемирным банком запущен первый в мире инновационный проект ICRAFT.,RELEVANT,POLICY,RELEVANT,POLICY,,,gold,IAA adjudicated gold
RU-D00507,,RU,Tengrinews,https://tengrinews.kz/world_news/bill-geyts-privlek-sotni-millionov-borbu-izmeneniem-klimata-449120/,2021-09-21,Билл Гейтс привлек сотни миллионов на борьбу с изменением климата: 21 сентября 2021 16:22 - новости на Tengrinews.kz,Tengrinews.kz ▶ Билл Гейтс привлек сотни миллионов на борьбу с изменением климата: 21 сентября 2021 16:22 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,POLICY,RELEVANT,POLICY,,,ru_1,Gates raised climate funding
RU-C00620,,RU,24.kg,https://24.kg/archive/ru/bigtiraj/66555-laquoklimatgejtraquo-za-xakerami-stoit-rossiya.html/,2009-12-08,«Климатгейт»: за хакерами стоит Россия? Задается вопросом,«Климатгейт»: за хакерами стоит Россия? Задается вопросомThe Times (Великобритания). «Климатгейтом» журналисты прозвали скандал вокруг электронной переписки ученых из,RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,1,ru_2,Climategate climate-science scandal
RU-D00752,,RU,Tengrinews,https://tengrinews.kz/usa/megazasuha-yugo-zapade-ssha-okazalas-silnoy-tyisyacheletie-462064/,2022-02-16,Мегазасуха на юго-западе США оказалась самой сильной за тысячелетие: 16 февраля 2022 16:09 - новости на Tengrinews.kz,Tengrinews.kz ▶ Мегазасуха на юго-западе США оказалась самой сильной за тысячелетие: 16 февраля 2022 16:09 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,DISASTER,RELEVANT,DISASTER,,,ru_1,US megadrought strongest millennium
RU-C00411,,RU,24.kg,https://24.kg/archive/ru/community/184960-taalajbek-ajdaraliev-kyrgyzstan-dolzhen-perexodit.html/,2014-08-13,Таалайбек Айдаралиев: Кыргызстан должен переходить на систему капельного полива на случай засухи,Таалайбек Айдаралиев: Кыргызстан должен переходить на систему капельного полива на случай засухи«Кыргызстан должен переходить на систему капельного полива на случай засушливого периода,RELEVANT,AGRI_LAND,RELEVANT,AGRI_LAND,,,ru_2,drip irrigation for drought
RU-D00014,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/obmelenie-kaspiyskogo-morya-obyyasnili-v-minekologii-496336/,2023-04-13,Обмеление Каспийского моря объяснили в Минэкологии: 13 апреля 2023 15:05 - новости на Tengrinews.kz,Tengrinews.kz ▶ Обмеление Каспийского моря объяснили в Минэкологии: 13 апреля 2023 15:05 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,ru_1,Caspian shallowing explained
RU-C00592,,RU,24.kg,https://24.kg/archive/ru/community/183152-problemu-chistoj-vody-v-odnom-iz-sel-issyk-kulya.html/,2014-07-10,Проблему чистой воды в одном из сел Иссык-Куля решили с помощью солнечных батарей,"Проблему чистой воды в одном из сел Иссык-Куля решили с помощью солнечных батарейВ селе Оттук Тонского района Иссык-Кульской области на водозаборе установили солнечные батареи, обеспечивающи",RELEVANT,ENERGY,RELEVANT,ENERGY,,1,ru_1,solar panels for clean water
RU-D04142,,RU,Kaktus,https://kaktus.media/doc/462358_na_issyk_kyle_nachalos_stroitelstvo_krypnoy_solnechnoy_stancii.html,2022-06-22,На Иссык-Куле началось строительство крупной солнечной станции,В селе Тору-Айгыр началось строительство первой солнечной станции мощностью 300 мегаватт.,RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_1,large solar station Issyk-Kul
RU-D00084,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/kazahstane-zapustili-platejnuyu-kartu-araldy-saqta-podderjku-532435/,2024-04-16,В Казахстане запустили платежную карту Araldy Saqta в поддержку спасения Арала,Freedom Bank и международная платежная система Mastercard запустили благотворительную инициативу по сохранению Аральского моря и представили платежную карту Araldy Saqta. При оплате данной картой кэшбек в размере до 10% с каждой покупки будет перечислен в Международный Фонд спасения Арала в Казахстане.,RELEVANT,WATER_CRYO,NOT_RELEVANT,,,1,ru_2,"Aral charity payment card, commercial"
RU-D03786,,RU,Kaktus,https://kaktus.media/doc/363359_bishkekteploenergo_vpervye_ystanovilo_solnechnye_kollektory._foto.html,2017-09-22,"""Бишкектеплоэнерго"" впервые установило солнечные коллекторы. Фото","Сегодня, 22 сентября, на территории КП ""Бишкектеплоэнерго"" состоялась презентация гелиоколлекторов. Об этом сообщает пресс-служба столичной мэрии.",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_2,solar collectors installed
RU-D05948,,RU,Kaktus,https://kaktus.media/doc/537954_oon:_chelovechestvo_stremitelno_priblijaetsia_k_ekologicheskoy_tochke_nevozvrata.html,2025-12-29,"ООН: Человечество стремительно приближается к ""экологической точке невозврата""",ЮНЕП предупреждает: промедление с реформами может стоить планете будущего. Подробнее:,RELEVANT,POLICY,RELEVANT,SCIENCE_GEN,,1,ru_2,UN ecological point of no return
RU-D02628,,RU,Tengrinews,https://tengrinews.kz/europe/tayuschiy-lednik-smestil-granitsu-shveytsariey-italiey-474026/,2022-07-27,Тающий ледник сместил границу между Швейцарией и Италией: 27 июля 2022 13:19 - новости на Tengrinews.kz,Tengrinews.kz ▶ Тающий ледник сместил границу между Швейцарией и Италией: 27 июля 2022 13:19 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,gold,IAA adjudicated gold
RU-D03704,,RU,Tengrinews,https://tengrinews.kz/news/glava-samruk-kazyina-rasskazal-putyah-dostijeniya-uglerodnoy-451221/,2021-10-14,Глава ”Самрук-Қазына” рассказал о путях достижения углеродной нейтральности: 14 октября 2021 15:58 - новости на Tengrinews.kz,Tengrinews.kz ▶ Глава ”Самрук-Қазына” рассказал о путях достижения углеродной нейтральности: 14 октября 2021 15:58 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_2,carbon neutrality paths
RU-C00766,,RU,Daryo.uz,https://daryo.uz/ru/2023/09/20/prezident-kr-v-svoej-reci-na-sessii-oon-rasskazal-o-problemah-s-izmeneniem-klimata/,2023-09-20,Президент КР в своей речи на сессии ООН рассказал о проблемах с изменением климата,В январе 2023 года Садыр Жапаров уже предлагал списать внешний долг странам и финансовым институтам при условии реализации зелёных инициатив,RELEVANT,POLICY,RELEVANT,POLICY,,,ru_1,KR president UN speech on climate
RU-00572,,RU,Daryo.uz,https://daryo.uz/ru/2024/03/15/oon-pomozet-uzbekistanu-v-ohrane-vodnyh-resursov/,2024-03-15,ООН поддерживает усилия по сохранению водных ресурсов в Узбекистане,Соответствующий проект финансирует Швейцарское агентство по развитию и сотрудничеству,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,1,ru_1,UN backs water resource conservation
RU-C00121,,RU,24.kg,https://24.kg/archive/ru/bigtiraj/65750-lednikovyj-period-sposoben-nastupat-v-schitannye.html/,2009-11-18,"Ледниковый период способен наступать в считанные месяцы, рассказываетЛедниковый период способен наступать в считанные месяцы, рассказывает","Ледниковый период способен наступать в считанные месяцы, рассказываетЛедниковый период способен наступать в считанные месяцы, рассказываетNew Scientist (США). Палеоклиматологи показали, что",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,ru_2,paleoclimate ice age research
RU-D01267,,RU,Tengrinews,https://tengrinews.kz/other/klimatolog-predupredil-o-roste-chastotyi-navodneniy-v-mire-443623/,2021-07-21,Климатолог предупредил о росте частоты наводнений в мире: 21 июля 2021 01:49 - новости на Tengrinews.kz,Tengrinews.kz ▶ Климатолог предупредил о росте частоты наводнений в мире: 21 июля 2021 01:49 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,DISASTER,RELEVANT,SCIENCE_GEN,,,ru_2,climatologist flood frequency warning
